S/N,video_id,type,labels,list_animal_action,list_animal,list_animal_parent_class
135,ADIUEKOU,train,"105,102,110,69,15,40,67","[('Yellowhammer Young', 'Sleeping in its nest'), ('Yellowhammer Young', 'Eating'), ('Yellowhammer', 'Eating'), ('Yellowhammer', 'Jumping'), ('Yellowhammer', 'Sleeping in its nest'), ('Yellowhammer Young', 'Chirping'), ('Yellowhammer', 'Sensing'), ('Yellowhammer Young', 'Sensing'), ('Yellowhammer', 'Chirping'), ('Yellowhammer', 'Sharing Food'), ('Yellowhammer', 'Landing')]","['Yellowhammer Young', 'Yellowhammer Young', 'Yellowhammer', 'Yellowhammer', 'Yellowhammer', 'Yellowhammer Young', 'Yellowhammer', 'Yellowhammer Young', 'Yellowhammer', 'Yellowhammer', 'Yellowhammer']",['Bird']
136,ADJSYTFT,train,"38,26,102,90,133,27","[('Flamingo', 'Walking'), ('Flamingo', 'Preening'), ('Flamingo', 'Disturbing Another Animal'), ('Flamingo', 'Drinking'), ('Flamingo', 'Displaying Defensive Pose'), ('Flamingo', 'Sensing')]","['Flamingo', 'Flamingo', 'Flamingo', 'Flamingo', 'Flamingo', 'Flamingo']",['Bird']
137,ADLESPDU,train,"40,13","[('Great Grey Shrike', 'Carrying In Mouth'), ('Great Grey Shrike', 'Eating')]","['Great Grey Shrike', 'Great Grey Shrike']",['Bird']
138,ADLXYLHH,train,"68,78","[('Frog Tadpole', 'Keeping still'), ('Frog Tadpole', 'Moving')]","['Frog Tadpole', 'Frog Tadpole']",['Amphibian']
139,ADMCXIFB,train,67,"[('Blue Poison Dart Frog', 'Jumping')]",['Blue Poison Dart Frog'],['Amphibian']
140,ADMEMAMC,train,"68,133,102","[('Lion', 'Keeping still'), ('Lion Young', 'Sensing'), ('Lion Young', 'Walking')]","['Lion', 'Lion Young', 'Lion Young']",['Mammal']
141,ADMMBHFB,train,133,"[('Hazel Grouse Bird', 'Walking')]",['Hazel Grouse Bird'],['Bird']
142,ADMWXPKK,train,"52,102,69,68,133,27","[('Black-Winged Stilt', 'Flying'), ('Black-Winged Stilt', 'Disturbing Another Animal'), ('Black-Winged Stilt', 'Sensing'), ('Black-Winged Stilt', 'Keeping still'), ('Black-Winged Stilt', 'Walking'), ('Black-Winged Stilt', 'Landing')]","['Black-Winged Stilt', 'Black-Winged Stilt', 'Black-Winged Stilt', 'Black-Winged Stilt', 'Black-Winged Stilt', 'Black-Winged Stilt']",['Bird']
143,ADNYRLZD,train,78,"[('Mosquito Larva', 'Moving')]",['Mosquito Larva'],['Insect']
144,ADOFYPLS,train,"2,69,68,40,133","[('Ardea Alba Egret', 'Keeping still'), ('Ardea Alba Egret', 'Attending'), ('Ardea Alba Egret', 'Walking'), ('Ardea Alba Egret', 'Landing'), ('Grey Heron', 'Keeping still'), ('Ardea Alba Egret', 'Eating'), ('Grey Heron', 'Walking')]","['Ardea Alba Egret', 'Ardea Alba Egret', 'Ardea Alba Egret', 'Ardea Alba Egret', 'Grey Heron', 'Ardea Alba Egret', 'Grey Heron']",['Bird']
145,ADOHVPTK,train,68,"[('Singing Nightingale', 'Keeping still')]",['Singing Nightingale'],['Bird']
146,ADPAYFXO,train,"102,135","[('Tit Bird', 'Sensing'), ('Tit Bird', 'Washing')]","['Tit Bird', 'Tit Bird']",['Bird']
147,ADPMWRAC,train,102,"[('Jaguarundi Cat', 'Sensing')]",['Jaguarundi Cat'],['Mammal']
148,ADPUOTFT,train,"38,26,102,90,133,27","[('Flamingo', 'Walking'), ('Flamingo', 'Preening'), ('Flamingo', 'Disturbing Another Animal'), ('Flamingo', 'Drinking'), ('Flamingo', 'Displaying Defensive Pose'), ('Flamingo', 'Sensing')]","['Flamingo', 'Flamingo', 'Flamingo', 'Flamingo', 'Flamingo', 'Flamingo']",['Bird']
149,ADPZMEUL,train,112,"[('Mozambique Spitting Cobra', 'Spitting Venom')]",['Mozambique Spitting Cobra'],['Reptile']
150,ADPZTMCV,train,85,"[('Brown Garden Snail', 'Performing sexual exploration')]",['Brown Garden Snail'],['Insect']
151,ADQKWFKM,train,"68,78,117","[('Meerkat', 'Moving'), ('Meerkat', 'Keeping still'), ('Meerkat', 'Standing in alert')]","['Meerkat', 'Meerkat', 'Meerkat']",['Mammal']
152,ADQPJJYD,train,"68,45","[('Aphis Fabae Aphid', 'Keeping still'), ('Ant', 'Exploring')]","['Aphis Fabae Aphid', 'Ant']",['Insect']
153,ADRGSNPL,train,"68,133","[('Grey Langur', 'Keeping still'), ('Grey Langur', 'Walking')]","['Grey Langur', 'Grey Langur']",['Mammal']
154,ADRLLJWU,train,133,"[('Bird', 'Walking')]",['Bird'],['Bird']
155,ADSMKTFT,train,"38,26,102,47,27","[('Flamingo', 'Fighting'), ('Flamingo', 'Disturbing Another Animal'), ('Flamingo', 'Drinking'), ('Flamingo', 'Displaying Defensive Pose'), ('Flamingo', 'Sensing')]","['Flamingo', 'Flamingo', 'Flamingo', 'Flamingo', 'Flamingo']",['Bird']
156,ADSTNDAL,train,"2,68,133","[('Grey Heron', 'Attending'), ('Fox', 'Walking'), ('Grey Heron', 'Keeping still')]","['Grey Heron', 'Fox', 'Grey Heron']","['Bird', 'Mammal']"
157,ADUAVFNJ,train,133,"[('Basilisk Lizard', 'Walking')]",['Basilisk Lizard'],['Reptile']
158,ADUJTKPH,train,41,"[('Starling Bird', 'Entering its nest')]",['Starling Bird'],['Bird']
159,ADUQOXDO,train,"68,100","[('Lion', 'Keeping still'), ('Lion', 'Running')]","['Lion', 'Lion']",['Mammal']
160,ADVHUHGA,train,"133,78,102","[('Naja Nivea Snake', 'Moving'), ('Meerkat', 'Walking'), ('Meerkat', 'Sensing')]","['Naja Nivea Snake', 'Meerkat', 'Meerkat']","['Reptile', 'Mammal']"
161,ADVQEVMP,train,"40,102","[('Deer', 'Sensing'), ('Deer', 'Eating')]","['Deer', 'Deer']",['Mammal']
162,ADWTXIQR,train,"62,102,1,39,8,120,97","[('Mongoose', 'Biting'), ('Black Mamba', 'Biting'), ('Black Mamba', 'Sensing'), ('Mongoose', 'Dying'), ('Mongoose', 'Attacking'), ('Mongoose', 'Retreating'), ('Black Mamba', 'Dying'), ('Black Mamba', 'Attacking'), ('Mongoose', 'Sensing'), ('Black Mamba', 'Hissing'), ('Black Mamba', 'Struggling')]","['Mongoose', 'Black Mamba', 'Black Mamba', 'Mongoose', 'Mongoose', 'Mongoose', 'Black Mamba', 'Black Mamba', 'Mongoose', 'Black Mamba', 'Black Mamba']","['Reptile', 'Mammal']"
163,AEABHPTK,train,104,"[('Singing Nightingale', 'Shaking Head')]",['Singing Nightingale'],['Bird']
164,AEBICNPL,train,"76,133,102,45","[('Lion', 'Exploring'), ('Lion', 'Manipulating Object'), ('Lion', 'Sensing'), ('Lion', 'Walking')]","['Lion', 'Lion', 'Lion', 'Lion']",['Mammal']
165,AECOXVTI,train,"123,102","[('Smew', 'Sensing')]",['Smew'],['Bird']
166,AECXTEWB,train,"83,40,133,102","[('Philomachus Pugnax Ruff Bird', 'Performing allo-preening'), ('Philomachus Pugnax Ruff Bird', 'Walking'), ('Philomachus Pugnax Ruff Bird', 'Eating'), ('Philomachus Pugnax Ruff Bird', 'Sensing')]","['Philomachus Pugnax Ruff Bird', 'Philomachus Pugnax Ruff Bird', 'Philomachus Pugnax Ruff Bird', 'Philomachus Pugnax Ruff Bird']",['Bird']
167,AEDUALHH,train,"40,7","[('Water Scorpion', 'Eating'), ('Frog Tadpole', 'Being Eaten')]","['Water Scorpion', 'Frog Tadpole']","['Amphibian', 'Insect']"
168,AEDZBNQN,train,102,"[('European Robin Bird', 'Sensing')]",['European Robin Bird'],['Bird']
169,AEEFGIQR,train,"120,8","[('Mongoose', 'Biting'), ('Black Mamba', 'Struggling')]","['Mongoose', 'Black Mamba']","['Reptile', 'Mammal']"
170,AEEHNVTT,train,40,"[('Leafcutter Ant', 'Eating')]",['Leafcutter Ant'],['Insect']
171,AEGDWKWA,train,"68,78,100","[('Iguana', 'Keeping still'), ('Iguana', 'Running'), ('Snake', 'Moving')]","['Iguana', 'Iguana', 'Snake']",['Reptile']
172,AEGVDREH,train,52,"[('Bird', 'Flying')]",['Bird'],['Bird']
173,AEGVXDAL,train,"52,123,102,2,69,68,32,133,13","[('Grey Heron', 'Flying'), ('Mallard Duck', 'Sensing'), ('Mallard Duck', 'Walking'), ('Grey Heron', 'Attending'), ('Grey Heron', 'Carrying In Mouth'), ('Grey Heron', 'Keeping still'), ('Grey Heron', 'Sensing'), ('Grey Heron', 'Walking'), ('Grey Heron', 'Landing'), ('Mallard Duck', 'Doing A Face Dip'), ('Mallard Duck', 'Swimming')]","['Grey Heron', 'Mallard Duck', 'Mallard Duck', 'Grey Heron', 'Grey Heron', 'Grey Heron', 'Grey Heron', 'Grey Heron', 'Grey Heron', 'Mallard Duck', 'Mallard Duck']",['Bird']
174,AEGXSNQN,train,15,"[('Common Rosefinch Bird', 'Chirping')]",['Common Rosefinch Bird'],['Bird']
175,AEHHLPTK,train,68,"[('Singing Nightingale', 'Keeping still')]",['Singing Nightingale'],['Bird']
176,AEHRLGCS,train,133,"[('Giraffe', 'Walking')]",['Giraffe'],['Mammal']
177,AEJREDMX,train,"102,15","[('Golden Oriole', 'Chirping'), ('Golden Oriole', 'Sensing')]","['Golden Oriole', 'Golden Oriole']",['Bird']
178,AEKTZRAM,train,47,"[('Nursery Web Spider', 'Fighting')]",['Nursery Web Spider'],['Insect']
179,AELXQBME,train,100,"[('Horse', 'Running')]",['Horse'],['Mammal']
180,AENCUXHP,train,"133,102","[('Whiskered Tern Bird', 'Walking'), ('Whiskered Tern Bird', 'Sensing'), ('Bird', 'Walking')]","['Whiskered Tern Bird', 'Whiskered Tern Bird', 'Bird']",['Bird']
181,AEPJJHSA,train,"2,52,102,15","[('Common Cuckoo Bird', 'Flying'), ('Common Cuckoo Bird', 'Attending'), ('Common Cuckoo Bird', 'Sensing'), ('Chaffinch Bird', 'Chirping'), ('Chaffinch Bird', 'Attending')]","['Common Cuckoo Bird', 'Common Cuckoo Bird', 'Common Cuckoo Bird', 'Chaffinch Bird', 'Chaffinch Bird']",['Bird']
182,AEPQBYUQ,train,13,"[('Polyergus Mexicanus', 'Carrying In Mouth')]",['Polyergus Mexicanus'],['Insect']
183,AEQHDVKA,train,"2,100","[('Common Quail', 'Attending'), ('Common Quail', 'Running')]","['Common Quail', 'Common Quail']",['Bird']
184,AEQVOUDX,train,133,"[('Elephant', 'Walking')]",['Elephant'],['Mammal']
185,AERSVHAQ,train,"52,102,2,68,13","[('Montagu''s Harrier', 'Sensing'), ('Montagu''s Harrier Young', 'Carrying In Mouth'), ('Montagu''s Harrier Young', 'Sensing'), ('Montagu''s Harrier Young', 'Keeping still'), ('Montagu''s Harrier', 'Sensing'), ('Montagu''s Harrier', 'Flying'), ('Montagu''s Harrier Young', 'Attending'), ('Montagu''s Harrier Young', 'Keeping still')]","['[', '[', '[']",['Bird']
186,AERZRNQN,train,"2,15","[('Thrush Nightingale Bird', 'Attending'), ('Thrush Nightingale Bird', 'Chirping')]","['Thrush Nightingale Bird', 'Thrush Nightingale Bird']",['Bird']
187,AESDJLSQ,train,"40,78","[('Mistle Thrush', 'Moving'), ('Mistle Thrush', 'Eating')]","['Mistle Thrush', 'Mistle Thrush']",['Bird']
188,AEUEWLSQ,train,"48,40,78","[('Mistle Thrush', 'Moving'), ('Mistle Thrush', 'Eating')]","['Mistle Thrush', 'Mistle Thrush']",['Bird']
189,AEXKOMYV,train,68,"[('Atheris Squamigera', 'Keeping still')]",['Atheris Squamigera'],['Reptile']
190,AEXKUHFB,train,"102,15","[('Hazel Grouse Bird', 'Chirping'), ('Hazel Grouse Bird', 'Sensing')]","['Hazel Grouse Bird', 'Hazel Grouse Bird']",['Bird']
191,AEXZJFFP,train,"40,133,102","[('Maroon Macaque', 'Sensing'), ('Maroon Macaque', 'Eating'), ('Maroon Macaque', 'Walking')]","['Maroon Macaque', 'Maroon Macaque', 'Maroon Macaque']",['Mammal']
192,AEZMTDKB,train,40,"[('Hoopoe', 'Eating')]",['Hoopoe'],['Bird']
193,AEZTBKEW,train,68,"[('Rabbit', 'Keeping still')]",['Rabbit'],['Mammal']
194,AFARIZQJ,train,90,"[('Bird', 'Preening')]",['Bird'],['Bird']
195,AFBALBQT,train,69,"[('Dragonfly', 'Landing')]",['Dragonfly'],['Insect']
196,AFBVPIQR,train,"102,26,1,51,97,78,100","[('Mongoose', 'Sensing'), ('Black Mamba', 'Displaying Defensive Pose'), ('Black Mamba', 'Sensing'), ('Black Mamba', 'Running'), ('Mongoose', 'Attacking'), ('Mongoose', 'Fleeing'), ('Mongoose', 'Retreating'), ('Black Mamba', 'Attacking'), ('Black Mamba', 'Fleeing'), ('Mongoose', 'Running'), ('Black Mamba', 'Moving')]","['Mongoose', 'Black Mamba', 'Black Mamba', 'Black Mamba', 'Mongoose', 'Mongoose', 'Mongoose', 'Black Mamba', 'Black Mamba', 'Mongoose', 'Black Mamba']","['Reptile', 'Mammal']"
197,AFDTSGHA,train,15,"[('Nightingale Bird', 'Chirping')]",['Nightingale Bird'],['Bird']
198,AFEDZGHA,train,"128,68","[('Nightingale Bird', 'Turning Around'), ('Nightingale Bird', 'Keeping still')]","['Nightingale Bird', 'Nightingale Bird']",['Bird']
199,AFEGAIQQ,train,78,"[('Planarian Schmidtea Mediterranea Flatworm', 'Moving')]",['Planarian Schmidtea Mediterranea Flatworm'],['Insect']
200,AFEODHGA,train,"2,68,78","[('Meerkat', 'Attending'), ('Meerkat', 'Moving'), ('Meerkat', 'Keeping still')]","['Meerkat', 'Meerkat', 'Meerkat']",['Mammal']
201,AFEUMDAL,train,"68,123,102","[('Grey Heron', 'Keeping still'), ('Duck', 'Swimming')]","['Grey Heron', 'Duck']",['Bird']
202,AFFAVFUG,train,40,"[('Water Rail Bird', 'Eating')]",['Water Rail Bird'],['Bird']
203,AFFRVFGA,train,"102,67","[('Bird', 'Sensing'), ('Bird', 'Jumping')]","['Bird', 'Bird']",['Bird']
204,AFFUDFPE,train,"68,78","[('Spider', 'Moving'), ('Spider', 'Keeping still'), ('Walking Stick', 'Moving')]","['Spider', 'Spider', 'Walking Stick']",['Insect']
205,AFGAABGU,train,43,"[('Blue Orchard Bee', 'Exiting Cocoon')]",['Blue Orchard Bee'],['Insect']
206,AFGHLSEB,train,"102,15","[('Common Rosefinch Bird', 'Chirping'), ('Common Rosefinch Bird', 'Sensing')]","['Common Rosefinch Bird', 'Common Rosefinch Bird']",['Bird']
207,AFGNOJVY,train,102,"[('Goldfinch', 'Sensing')]",['Goldfinch'],['Bird']
208,AFIQFBQT,train,68,"[('Bat', 'Keeping still')]",['Bat'],['Mammal']
209,AFJLVDSN,train,"14,51,100","[('Ostrich', 'Running'), ('Cheetah', 'Chasing'), ('Ostrich', 'Fleeing')]","['Ostrich', 'Cheetah', 'Ostrich']","['Bird', 'Mammal']"
210,AFJRQCIW,train,"26,8","[('Aphid', 'Displaying Defensive Pose'), ('Salticidae Jumping Spider', 'Biting')]","['Aphid', 'Salticidae Jumping Spider']",['Insect']
211,AFKUFRAH,train,"102,15","[('Pygmy Owl', 'Chirping')]",['Pygmy Owl'],['Bird']
212,AFKWTSOB,train,78,"[('Nose-Horned Viper', 'Moving')]",['Nose-Horned Viper'],['Reptile']
213,AFLPRFGA,train,100,"[('Wild Dog', 'Running')]",['Wild Dog'],['Mammal']
214,AFLSGLDC,train,78,"[('Pituophis Catenifer Snake', 'Moving')]",['Pituophis Catenifer Snake'],['Reptile']
215,AFMIPZLK,train,102,"[('Water Rail Bird', 'Sensing')]",['Water Rail Bird'],['Bird']
216,AFNJMDCC,train,"68,67","[('Turtle Dove', 'Keeping still'), ('Turtle Dove', 'Jumping')]","['Turtle Dove', 'Turtle Dove']",['Bird']
217,AFNMIDAL,train,"104,52,123,102,2,69,67,32,68,40","[('Mallard Duck', 'Shaking Head'), ('Mallard Duck', 'Keeping still'), ('Grey Heron', 'Flying'), ('Mallard Duck', 'Sensing'), ('Grey Heron', 'Swimming'), ('Mallard Duck', 'Doing A Face Dip'), ('Grey Heron', 'Jumping'), ('Grey Heron', 'Eating'), ('Grey Heron', 'Keeping still'), ('Grey Heron', 'Attending'), ('Grey Heron', 'Sensing'), ('Duck', 'Eating'), ('Grey Heron', 'Landing'), ('Mallard Duck', 'Flying'), ('Mallard Duck', 'Swimming'), ('Mallard Duck', 'Jumping')]","['Mallard Duck', 'Mallard Duck', 'Grey Heron', 'Mallard Duck', 'Grey Heron', 'Mallard Duck', 'Grey Heron', 'Grey Heron', 'Grey Heron', 'Grey Heron', 'Grey Heron', 'Duck', 'Grey Heron', 'Mallard Duck', 'Mallard Duck', 'Mallard Duck']",['Bird']
218,AFNOXJKU,train,133,"[('Eagle', 'Walking')]",['Eagle'],['Bird']
219,AFNSKXRE,train,"2,103","[('Great Egret', 'Attending'), ('Great Egret', 'Shaking')]","['Great Egret', 'Great Egret']",['Bird']
220,AFNVSSFN,train,78,"[('Snake', 'Moving')]",['Snake'],['Reptile']
221,AFOLADSN,train,100,"[('Marine Iguana', 'Running')]",['Marine Iguana'],['Reptile']
222,AFRUMSEB,train,"102,15","[('Common Rosefinch Bird', 'Chirping'), ('Common Rosefinch Bird', 'Sensing')]","['Common Rosefinch Bird', 'Common Rosefinch Bird']",['Bird']
223,AFRXYHGA,train,"2,102","[('Meerkat', 'Attending'), ('Meerkat', 'Sensing')]","['Meerkat', 'Meerkat']",['Mammal']
224,AFVBQFXO,train,"102,15","[('Tit Bird', 'Chirping'), ('Tit Bird', 'Sensing')]","['Tit Bird', 'Tit Bird']",['Bird']
225,AFVFMXHP,train,102,"[('Whiskered Tern Bird', 'Sensing')]",['Whiskered Tern Bird'],['Bird']
226,AFVLAIWV,train,"133,102,15","[('Whooper Swan', 'Chirping'), ('Whooper Swan', 'Sensing'), ('Whooper Swan', 'Walking')]","['Whooper Swan', 'Whooper Swan', 'Whooper Swan']",['Bird']
227,AFVXGCEI,train,8,"[('Ant', 'Biting')]",['Ant'],['Insect']
228,AFWFCDAL,train,"32,68,40","[('Grey Heron', 'Keeping still'), ('Mallard Duck', 'Keeping still'), ('Mallard Duck', 'Doing A Face Dip'), ('Grey Heron', 'Eating')]","['Grey Heron', 'Mallard Duck', 'Mallard Duck', 'Grey Heron']",['Bird']
229,AFWKZVRM,train,102,"[('Spider', 'Sensing')]",['Spider'],['Insect']
230,AFXMXEWB,train,33,"[('Philomachus Pugnax Ruff Bird', 'Doing A Neck Raise')]",['Philomachus Pugnax Ruff Bird'],['Bird']
231,AFXPVMHZ,train,18,"[('Zamenis Longissiumus Snake', 'Competing For Dominance')]",['Zamenis Longissiumus Snake'],['Reptile']
232,AFZHKNQN,train,"2,15","[('Thrush Nightingale Bird', 'Attending'), ('Thrush Nightingale Bird', 'Chirping')]","['Thrush Nightingale Bird', 'Thrush Nightingale Bird']",['Bird']
233,AFZTOONO,train,128,"[('Wood Warbler', 'Turning Around')]",['Wood Warbler'],['Bird']
234,AGAMZCIN,train,"40,52","[('Alfalfa Leafcutting Bee', 'Flying'), ('Alfalfa Leafcutting Bee', 'Eating')]","['Alfalfa Leafcutting Bee', 'Alfalfa Leafcutting Bee']",['Insect']
235,AGAZXKEW,train,90,"[('Grebe Bird', 'Preening')]",['Grebe Bird'],['Bird']
236,AGBHKVEI,train,32,"[('Anas Platyrhynchos Bird', 'Doing A Face Dip')]",['Anas Platyrhynchos Bird'],['Bird']
237,AGBKJUDI,train,"2,15","[('Robin Bird', 'Attending'), ('Robin Bird', 'Chirping')]","['Robin Bird', 'Robin Bird']",['Bird']
238,AGBKOFGA,train,"128,15","[('Bird', 'Turning Around'), ('Bird', 'Chirping')]","['Bird', 'Bird']",['Bird']
239,AGCAYUOY,train,"104,123,28","[('White Throated Dipper Bird', 'Diving'), ('White Throated Dipper Bird', 'Swimming')]","['White Throated Dipper Bird', 'White Throated Dipper Bird']",['Bird']
240,AGDEGXMC,train,52,"[('Woodpecker', 'Flying')]",['Woodpecker'],['Bird']
241,AGDEHDAL,train,"104,123,5,128,67,32,13","[('Frog', 'Carrying In Mouth'), ('Grey Heron', 'Being Carried In Mouth'), ('Grey Heron', 'Shaking Head'), ('Grey Heron', 'Jumping'), ('Frog', 'Being Carried In Mouth'), ('Grey Heron', 'Turning Around'), ('Frog', 'Doing A Face Dip'), ('Grey Heron', 'Carrying In Mouth'), ('Mallard Duck', 'Being Carried In Mouth'), ('Mallard Duck', 'Doing A Face Dip'), ('Mallard Duck', 'Swimming'), ('Mallard Duck', 'Jumping')]","['Frog', 'Grey Heron', 'Grey Heron', 'Grey Heron', 'Frog', 'Grey Heron', 'Frog', 'Grey Heron', 'Mallard Duck', 'Mallard Duck', 'Mallard Duck', 'Mallard Duck']","['Amphibian', 'Bird']"
242,AGELRXDO,train,133,"[('Tiger', 'Walking')]",['Tiger'],['Mammal']
243,AGEUEZQJ,train,47,"[('Fiddler Crab', 'Fighting')]",['Fiddler Crab'],['Sea animal']
244,AGFIVTFT,train,"38,102","[('Flamingo', 'Drinking'), ('Flamingo', 'Sensing')]","['Flamingo', 'Flamingo']",['Bird']
245,AGHBWIFB,train,68,"[('Mimic Poison Frog', 'Keeping still')]",['Mimic Poison Frog'],['Amphibian']
246,AGILWBQT,train,102,"[('Greater Racket Tail Drongo', 'Sensing')]",['Greater Racket Tail Drongo'],['Bird']
247,AGIQNEWB,train,"68,133","[('Philomachus Pugnax Ruff Bird', 'Walking'), ('Philomachus Pugnax Ruff Bird', 'Keeping still')]","['Philomachus Pugnax Ruff Bird', 'Philomachus Pugnax Ruff Bird']",['Bird']
248,AGJKWLSQ,train,68,"[('Mistle Thrush', 'Keeping still')]",['Mistle Thrush'],['Bird']
249,AGKXYZLK,train,40,"[('Water Rail Bird', 'Eating')]",['Water Rail Bird'],['Bird']
250,AGMBXWMK,train,68,"[('Horned Adder', 'Keeping still')]",['Horned Adder'],['Reptile']
251,AGMMQEWB,train,52,"[('Philomachus Pugnax Ruff Bird', 'Flying')]",['Philomachus Pugnax Ruff Bird'],['Bird']
252,AGNEFGHA,train,"2,133,15","[('Nightingale Bird', 'Walking'), ('Nightingale Bird', 'Attending'), ('Nightingale Bird', 'Chirping')]","['Nightingale Bird', 'Nightingale Bird', 'Nightingale Bird']",['Bird']
253,AGNKZMHZ,train,68,"[('Vipera Berus Snake', 'Keeping still')]",['Vipera Berus Snake'],['Reptile']
254,AGONXBRS,train,"58,40","[('Apis Mellifera Honey Bee', 'Grooming')]",['Apis Mellifera Honey Bee'],['Insect']
255,AGQNPCPZ,train,68,"[('White Wig Marine Iguana', 'Keeping still')]",['White Wig Marine Iguana'],['Reptile']
256,AGSKCVTI,train,"2,48,104","[('Smew', 'Shaking Head'), ('Smew', 'Flapping'), ('Smew', 'Attending')]","['Smew', 'Smew', 'Smew']",['Bird']
257,AGTSMTFT,train,"38,26,102,90,47,27","[('Flamingo', 'Fighting'), ('Flamingo', 'Preening'), ('Flamingo', 'Disturbing Another Animal'), ('Flamingo', 'Drinking'), ('Flamingo', 'Displaying Defensive Pose'), ('Flamingo', 'Sensing')]","['Flamingo', 'Flamingo', 'Flamingo', 'Flamingo', 'Flamingo', 'Flamingo']",['Bird']
258,AGTVCKDQ,train,76,"[('Great Egret', 'Manipulating Object')]",['Great Egret'],['Bird']
259,AGUBBQTX,train,68,"[('Turdus Merula Blackbird', 'Keeping still')]",['Turdus Merula Blackbird'],['Bird']
260,AGUSZKOU,train,15,"[('Yellowhammer', 'Chirping')]",['Yellowhammer'],['Bird']
261,AGUWYCND,train,102,"[('Snake', 'Sensing')]",['Snake'],['Reptile']
262,AGVNIBQT,train,68,"[('Black Bearded Draco', 'Keeping still')]",['Black Bearded Draco'],['Reptile']
263,AGVYUNQN,train,"102,15","[('Citrine Wagtail', 'Chirping'), ('Citrine Wagtail', 'Sensing')]","['Citrine Wagtail', 'Citrine Wagtail']",['Bird']
264,AGXWTXGD,train,52,"[('Wedge Tailed Eagle', 'Flying')]",['Wedge Tailed Eagle'],['Bird']
265,AGXXYLBD,train,"2,68","[('Botaurus Stellaris Bird', 'Keeping still'), ('Botaurus Stellaris Bird', 'Attending')]","['Botaurus Stellaris Bird', 'Botaurus Stellaris Bird']",['Bird']
266,AGYAXFXO,train,15,"[('Tit Bird', 'Chirping')]",['Tit Bird'],['Bird']
267,AGYDGLSQ,train,"2,48,68","[('Mistle Thrush', 'Attending'), ('Mistle Thrush', 'Flapping'), ('Mistle Thrush', 'Keeping still')]","['Mistle Thrush', 'Mistle Thrush', 'Mistle Thrush']",['Bird']
268,AGYLNNPL,train,"68,64","[('Red-Backed Shrike Bird Young', 'Keeping still'), ('Red-Backed Shrike Bird', 'Hopping')]","['Red-Backed Shrike Bird Young', 'Red-Backed Shrike Bird']",['Bird']
269,AHACLXHP,train,"52,102,69,8,15","[('Whiskered Tern Bird', 'Biting'), ('Whiskered Tern Bird', 'Flying'), ('Whiskered Tern Bird', 'Chirping'), ('Whiskered Tern Bird', 'Sensing'), ('Whiskered Tern Bird', 'Landing')]","['Whiskered Tern Bird', 'Whiskered Tern Bird', 'Whiskered Tern Bird', 'Whiskered Tern Bird', 'Whiskered Tern Bird']",['Bird']
270,AHAEZVYU,train,133,"[('Leopard', 'Walking')]",['Leopard'],['Mammal']
